NO,NAMA UNIVERSITAS/INSTITUT,JURUSAN,DAYA TAMPUNG,PASSING GRADE,UKT,,,,
50,UNIVERSITAS SYIAH KUALA,PENDIDIKAN BAHASA INGGRIS,44,32.60%,"Rp500,000","Rp1,000,000","Rp2,087,550","Rp3,500,000","Rp6,000,000"
51,UNIVERSITAS SYIAH KUALA,PENDIDIKAN SENI DRAMA TARI DAN MUSIK,34,21.90%,"Rp500,000","Rp1,000,000","Rp2,087,550","Rp3,500,000","Rp7,000,000"
52,UNIVERSITAS SYIAH KUALA,PENDIDIKAN KESEJAHTERAAN KELUARGA,37,22.90%,"Rp500,000","Rp1,000,000","Rp2,087,550","Rp3,500,000","Rp9,000,000"
53,UNIVERSITAS SYIAH KUALA,PEND. JASMANI KESEHATAN DAN REKREASI,49,22.90%,"Rp500,000","Rp1,000,000","Rp2,087,550","Rp3,500,000","Rp6,000,000"
54,UNIVERSITAS SYIAH KUALA,BIMBINGAN KONSELING,39,25.00%,"Rp500,000","Rp1,000,000","Rp2,087,550","Rp3,500,000","Rp6,000,000"
55,UNIVERSITAS SYIAH KUALA,PENDIDIKAN GURU SEKOLAH DASAR,43,33.70%,"Rp500,000","Rp1,000,000","Rp2,087,550","Rp3,500,000","Rp6,000,000"
56,UNIVERSITAS SYIAH KUALA,PSIKOLOGI,32,35.60%,"Rp500,000","Rp1,000,000","Rp2,525,250","Rp3,500,000","Rp9,000,000"
57,UNIVERSITAS SYIAH KUALA,ILMU POLITIK,48,24.10%,"Rp500,000","Rp1,000,000","Rp2,025,250","Rp3,500,000","Rp6,000,000"
58,UNIVERSITAS SYIAH KUALA,SOSIOLOGI,45,23.70%,"Rp500,000","Rp1,000,000","Rp2,025,250","Rp3,500,000","Rp6,000,000"
59,UNIVERSITAS SYIAH KUALA,ILMU KOMUNIKASI,45,33.70%,"Rp500,000","Rp1,000,000","Rp2,025,250","Rp3,500,000","Rp6,000,000"
60,UNIVERSITAS SYIAH KUALA,PENDIDIKAN GURU PAUD,36,23.60%,"Rp500,000","Rp1,000,000","Rp2,087,550","Rp3,500,000","Rp6,000,000"
61,UNIVERSITAS SYIAH KUALA,ILMU PEMERINTAHAN,44,22.90%,"Rp500,000","Rp1,000,000","Rp2,025,250","Rp3,500,000","Rp6,000,000"
62,UNIVERSITAS SYIAH KUALA,EKONOMI ISLAM,45,30.60%,"Rp500,000","Rp1,000,000","Rp2,069,000","Rp3,500,000","Rp8,000,000"
63,UNIVERSITAS SYIAH KUALA,MANAJEMEN (PSDKU GAYO LUES),25,25.10%,"Rp500,000","Rp1,000,000","Rp2,087,550","Rp3,500,000","Rp6,000,000"
